Group,a,b,c,d
Aarau,2,0,0,0
Adelboden,0,1,0,0
Adligenswil,1,0,0,0
Aigle,1,0,0,0
Aire-la-Ville,1,0,0,0
Alvaneu,1,0,0,0
Andermatt,0,1,0,0
Arosa,1,0,0,0
Ascona,2,2,1,0
Auvernier,1,0,0,0
Avenches,1,0,0,0
BÃ¼lach,1,0,0,0
Bad Ragaz,0,1,2,0
Basel,3,2,1,1
Bedretto,1,0,0,0
Bellevue,0,1,0,0
Bellinzona,0,1,0,0
Berne,1,2,0,0
Bernex,1,0,0,0
Bex,0,1,0,0
Binn,1,0,0,0
Birmenstorf,1,0,0,0
Blatten bei Malters,1,0,0,0
Blatten im LÃ¶tschental,1,0,0,0
Bottmingen,1,0,0,0
Brail,0,1,0,0
Bubendorf,0,2,0,0
Bubikon,1,1,0,0
Burgdorf,1,1,0,0
Carouge,2,1,0,0
ChampÃ©ry,0,1,0,0
Charmey,0,1,0,0
Cheseaux-NorÃ©az,0,1,0,0
Collonge-Bellerive,1,0,0,0
Conches,1,0,0,0
Cossonay,1,0,0,0
Crans Montana,2,1,0,0
Crissier,0,0,0,1
Dallenwil,0,1,0,0
Davos Platz,1,0,0,0
Diessenhofen,1,0,0,0
Ebersecken,1,0,0,0
Eglisau,1,0,0,0
Emmenmatt,1,0,0,0
Erlenbach,1,0,0,0
Escholzmatt,1,1,0,0
FÃ¼rstenau,1,0,0,1
Fislisbach,1,0,0,0
FlÃ¤sch,1,0,0,0
FlÃ¼h,0,1,0,0
Flims,1,0,0,0
Freidorf,0,1,0,0
Freienstein-Teufen,1,0,0,0
Fribourg,0,1,0,0
Frutigen,1,0,0,0
Gachnang,1,0,0,0
Gais,0,1,0,0
Gattikon,0,1,0,0
Geneva,3,5,0,0
Gerolfingen,1,0,0,0
Grenchen,1,0,0,0
Grub,1,0,0,0
Gstaad,0,1,0,0
Heiden,1,0,1,0
Hergiswil,1,1,0,0
Hermance,1,0,0,0
Herrliberg,1,0,0,0
Hildisrieden,1,0,0,0
Hilterfingen,1,0,0,0
Hochdorf,1,0,0,0
Ilanz,1,0,0,0
KÃ¼snacht,0,0,1,0
Kestenholz,1,0,0,0
Klosters,1,0,0,0
Kloten,1,0,0,0
La Chaux-de-Fonds,1,0,0,0
La Punt-Chamues-ch,1,0,0,0
LÃ¶mmenschwil,0,1,0,0
Laax,1,0,0,0
Lausanne,2,2,1,0
Le Noirmont,0,0,1,0
Lenzerheide,0,1,0,0
Ligerz,1,0,0,0
Losone,1,0,0,0
Lugano,0,1,0,0
MÃ¤genwil,1,0,0,0
Madiswil,1,0,0,0
Madulain,0,1,0,0
Massagno,1,0,0,0
Meggen,1,0,0,0
Meiringen,1,0,0,0
Mels,1,1,0,0
Monthey,0,1,0,0
Murten,1,0,0,0
NiedergÃ¶sgen,1,0,0,0
Noville,1,0,0,0
OberÃ¤geri,1,0,0,0
Oberstammheim,1,0,0,0
Oberwil,0,1,0,0
Olten,1,0,0,0
Onex,1,0,0,0
Pleujouse,1,0,0,0
Ponte Brolla,1,0,0,0
RÃ¼schlikon,1,1,0,0
Rehetobel,1,0,0,0
Reichenbach,1,0,0,0
Rheineck,1,0,0,0
Riedholz,1,1,0,0
Ried-Muotathal,1,0,0,0
Riemenstalden,1,0,0,0
Rigi Kaltbad,1,1,0,0
Rougemont,1,0,0,0
Saanen,1,0,0,0
Saint Moritz,2,2,4,0
Samnaun,0,1,0,0
San Vittore,1,0,0,0
Sankt Gallen,2,1,1,0
Sankt Niklausen,1,0,0,0
Satigny,1,0,1,0
SchÃ¶ftland,1,0,0,0
Schaffhausen,1,0,0,0
Schenkon,1,0,0,0
Schluein,1,0,0,0
Schwarzenburg,1,0,0,0
Schwyz,0,0,2,0
Sempach,1,0,0,0
Sent,1,0,0,0
Sion,0,1,0,0
Solothurn,1,0,0,0
Sonceboz,1,1,0,0
StÃ¤fa,1,0,0,0
Stansstad,0,1,0,0
Steffisburg,1,1,0,0
Steinen,0,0,1,0
Teufen,1,0,0,0
ThÃ´nex,0,1,0,0
Thun,0,1,0,0
Trimbach,0,1,0,0
Troinex,0,1,0,0
Trun,1,0,0,0
UrnÃ¤sch,1,0,0,0
Uster,1,0,0,0
Utzenstorf,1,0,0,0
Vaduz,0,1,0,0
Valeyres-sous-Rances,1,0,0,0
Vals,0,0,1,0
Verbier,0,1,0,0
Versoix,1,0,0,0
Vevey,1,3,0,0
Villarepos,0,1,0,0
Vitznau,0,1,2,0
Vouvry,1,0,0,0
Vufflens-le-ChÃ¢teau,0,1,0,0
WÃ¶lflinswil,1,0,0,0
Wangen bei DÃ¼bendorf,0,1,0,0
Wengi bei BÃ¼ren,1,1,0,0
Wigoltingen,0,0,1,0
Wilderswil,1,1,0,0
Winterthur,1,0,0,0
Wittenbach,0,1,0,0
Yens,1,0,0,0
Zermatt,1,2,0,0
Zug,2,0,0,0
Zurich,5,8,3,0
